,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2021-03-02,30.780000686645508,30.780000686645508,29.709999084472656,29.770000457763672,29.393936157226562,299000,SPCX,28.592682,28.35719871520996,0.0,1.0367374420166016
2021-03-08,28.950000762939453,29.350000381469727,28.90999984741211,29.100000381469727,28.73240089416504,172300,SPCX,28.03275,28.218969345092773,0.0,0.5134315490722656
2021-03-11,29.350000381469727,29.700000762939453,29.299999237060547,29.68000030517578,29.305072784423828,130100,SPCX,28.221474,28.258464813232422,0.0,1.0466079711914062
2021-03-12,29.700000762939453,29.700000762939453,29.450000762939453,29.6200008392334,29.245832443237305,78100,SPCX,28.352724,28.386821746826172,0.0,0.8590106964111328
2021-03-17,29.100000381469727,29.190000534057617,29.059999465942383,29.149999618530273,28.781766891479492,114900,SPCX,28.53527,28.49543190002441,0.0,0.2863349914550817
2021-03-22,28.920000076293945,29.0,28.8700008392334,28.950000762939453,28.58429527282715,136200,SPCX,28.458412,28.426317214965824,0.0,0.15797805786132457
2021-03-24,28.559999465942383,28.645000457763672,28.360000610351562,28.479999542236328,28.12023162841797,196800,SPCX,28.320606,28.40656852722168,0.28633689880371094,0.0
2021-04-20,28.649999618530273,28.739999771118164,28.56999969482422,28.56999969482422,28.209095001220703,80600,SPCX,27.975193,28.139978408813477,0.0,0.06911659240722656
2021-04-23,28.549999237060547,28.670000076293945,28.549999237060547,28.65999984741211,28.297958374023438,43500,SPCX,27.913437,28.060989379882812,0.0,0.236968994140625
2021-05-13,28.290000915527344,28.450000762939453,28.290000915527344,28.399999618530273,28.041242599487305,158300,SPCX,28.231491,28.13010597229004,0.08886337280273438,0.0
2021-05-24,28.309999465942383,28.405000686645508,28.309999465942383,28.350000381469727,27.99187469482422,39200,SPCX,28.348352,28.791641235351566,0.7997665405273473,0.0
2021-06-08,28.280000686645508,28.68000030517578,28.100000381469727,28.6200008392334,28.258464813232422,132000,SPCX,28.67925,28.836072921752926,0.5776081085205043,0.0
2021-06-11,28.979999542236328,29.209999084472656,28.889999389648438,29.190000534057617,28.821264266967773,59300,SPCX,28.65452,28.752147674560547,0.0,0.06911659240722656
2021-06-16,29.06999969482422,29.149999618530273,29.059999465942383,29.09000015258789,28.72252655029297,19900,SPCX,28.69837,28.663284301757812,0.0,0.05924224853515625
2021-06-22,29.059999465942383,29.15999984741211,29.059999465942383,29.09000015258789,28.72252655029297,46600,SPCX,28.57413,28.673158645629883,0.0,0.04936790466308594
